transaction_id,customer_id,account_id,account_age_days,customer_risk_score,kyc_status,transaction_amount,transaction_datetime,transaction_type,transaction_channel,merchant_id,merchant_category,currency,is_international,transaction_city,transaction_state,ip_address,device_id,device_type,geo_distance_from_last_txn_km,location_match_with_profile,txn_count_last_1hr,txn_count_last_24hr,avg_txn_amount_last_7days,current_vs_avg_amount_ratio,failed_login_attempts,is_night_transaction,receiver_id,receiver_bank,receiver_account_type,relationship_with_customer,fraud,fraud_type,report_source
TXN000001,CUST202,ACC96322,1053,79,verified,100975,2025-01-01 08:02:00,credit,pos,MRC1768,Fuel,INR,no,Indore,MP,103.111.222.161,DEV_61057,iOS,71.46,yes,4,15,19971,5.06,4,no,RCV4678,AXIS,Wallet,New,no,none,none
TXN000002,CUST535,ACC54565,224,35,incomplete,188795,2025-02-07 22:55:00,credit,pos,MRC3895,Electronics,INR,no,Pune,MH,103.77.127.139,DEV_61356,Web,142.75,yes,2,8,27624,6.83,2,no,RCV8531,ICICI,Savings,Unknown,no,none,none
TXN000003,CUST960,ACC30183,1343,65,verified,60916,2025-01-22 21:08:00,credit,atm,MRC1394,Clothing,INR,no,Jaipur,RJ,103.227.78.2,DEV_12816,iOS,84.19,yes,0,34,28161,2.16,2,no,RCV7796,HDFC,Current,Unknown,no,none,none
TXN000004,CUST370,ACC11132,1284,63,verified,92196,2025-01-31 20:35:00,credit,internet,MRC9981,Travel,INR,no,Delhi,DL,103.72.9.68,DEV_66000,Web,33.98,yes,5,31,20539,4.49,3,no,RCV4217,ICICI,Current,Unknown,no,none,none
TXN000005,CUST206,ACC48259,497,85,pending,196057,2025-02-01 02:58:00,debit,branch,MRC1896,Electronics,INR,no,Jaipur,RJ,103.129.217.69,DEV_61678,Web,37.54,yes,0,37,567,345.17,5,yes,RCV7955,AXIS,Wallet,Known,no,none,none
TXN000006,CUST171,ACC73668,1415,72,verified,45341,2025-01-08 22:24:00,neft,internet,MRC7476,Grocery,INR,no,Chandigarh,CH,103.236.133.68,DEV_68311,iOS,87.48,yes,4,9,7667,5.91,1,yes,RCV9544,HDFC,Current,High-risk,no,none,none
TXN000007,CUST800,ACC48563,1442,71,incomplete,123784,2025-01-15 10:38:00,imps,mobile,MRC9557,Online Marketplace,INR,no,Chandigarh,CH,103.173.91.82,DEV_25712,iOS,173.18,yes,4,1,29146,4.25,4,no,RCV6751,BOB,Savings,High-risk,yes,Merchant fraud,system_alert
TXN000008,CUST120,ACC20931,1304,41,verified,183309,2025-02-01 15:46:00,neft,atm,MRC5912,Clothing,INR,no,Indore,MP,103.23.164.217,DEV_80056,Web,76.68,yes,2,23,21856,8.39,4,no,RCV1655,BOB,Savings,Known,no,none,none
TXN000009,CUST714,ACC83169,1967,50,verified,115497,2025-01-20 21:47:00,neft,branch,MRC6801,Clothing,INR,no,Bengaluru,KA,103.206.251.232,DEV_79489,Web,107.19,no,3,33,16675,6.93,3,no,RCV4653,ICICI,Current,Unknown,no,none,none
TXN000010,CUST221,ACC60639,1440,30,verified,128267,2025-01-20 17:23:00,credit,atm,MRC9795,Electronics,INR,no,Surat,GJ,103.143.179.94,DEV_94063,Android,5.72,no,9,28,7918,16.2,3,no,RCV4271,BOB,Wallet,Known,no,none,none
